"x","y","rx","ry","type"
"0.1875613875441499","0.2077559429210621","0.057475004877362935","0.0003814697265625","0"
"-0.4380491643116392","-0.22548256454796628","0.28404146638409844","0.8639126769427595","1"
"-0.006804720351570531","0.6632173186854312","-0.09006758740073756","-0.15680250996037534","1"
"0.43036096236285043","0.4486215219778173","-0.1349157831248115","-0.03204664062051212","1"
"-0.0010850053084524053","0.5870667758740877","-0.48937851504275676","-0.03227123774980244","1"
"0.004959178822381156","0.5275109239986965","-1","0.17004002843584334","1"
"0.11008091156299298","0.40200244463407075","0.05479982724556556","-0.042620798716178306","0"
"0.015721877415974934","0.10591286420822144","-1","-0.07608148455619812","1"
"0.0020329952239990234","-0.4577064264652341","0.06401018347851066","0.6707621313804804","0"
"0.2247663787070741","-0.15458006047187967","0.037827134132385254","0.012588016530300708","1"
"-0.011496913433074952","-0.5550156459212303","-0.8880689740180969","0.5638231426477432","1"
"-0.008302282203327526","-0.3328173052180897","-0.09129195321689952","-0.9962213093584235","1"
"0.11755651632944743","-0.6981033086776733","-0.80286971728007","-0.7853727062543233","1"
"-0.003952090229306903","-0.2934985671724592","-0.42967444232531954","-0.7281736007758549","1"
"-0.13765163719654083","-0.7583581283688545","-0.07063592225313187","0.9177557751536369","1"
"-0.03839571538724398","-0.3827484752002515","-0.05679006952988474","-0.08998245000839233","0"
"0.32890642390531655","0.25801660032833323","0.26133229452020984","0.07491730591830086","1"
"-0.007987792491912843","0.6870655393600464","-0.7501268029212952","-0.32241398096084595","1"
"0.04991805553436279","-0.22025672027042933","-0.03896209739503406","1","1"
"-0.014941136042277018","-0.5067241489887238","0.8442994952201843","0.6785305639108022","1"
"0.1452140212059021","-0.035062175989151","-0.6732616066932678","-0.8661173403263092","0"
"-0.021457048133015633","-0.5315632876008749","0.24346628412604332","0.9315508902072906","1"
"-0.20107031081404006","-0.642975947686604","-0.8222868825708117","0.6656105305467334","1"
"-0.2142337726641305","0.33112444455110573","-0.5067569462558891","-0.8420165875290013","1"
"0.3078844451356208","0.33898057745791027","-0.8690804023852293","-0.2878688169621873","1"
"0.3642848959335914","0.1373941928912432","-0.03602653741836548","-0.027328908443450928","0"
